Condos,link,Description,Location,Date Posted,Price
Bloor and Ossington (3 bedroom apartment),https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bloor-and-ossington-3-bedroom-apartment/1648414263,3 Bedroom Apartment (Bloor and Ossington) Rent$2850 plus Hydro This newly renovated-conveniently located apartment is ready for you to call home. Just across from the Ossington Subway station. You ...,Toronto,< 16 hours ago,"$2,850.00"
Beautiful 2BR/2Bath Condo Apartment - Henry Farm North York,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/beautiful-2br-2bath-condo-apartment-henry-farm-north-york/1651411886,Welcome To 60 Ann O'reilly Where Luxury Meets Functionality! This Beautiful Condo Is Located In Prime North York. The Unit Boast Amazing Views Of The City Skyline And 2 Great Size Bdrms And ...,Toronto,23/02/2023,"$2,650.00"
2 bedroom house upper portion available for rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-house-upper-portion-available-for-rent/1651839165,"Walking distance from Tim hortons, main road and shopping plaza. Separate kitchen, washroom and Garage for parking available . Address is 4 Lockington Ct ,North York, ON M9M 2C5 Rent is 2500 dollars ...",Toronto,27/02/2023,"$2,500.00"
1 Bedroom Large Renovated Apartment For Rent in Toronto - 90 Eas,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/1-bedroom-large-renovated-apartment-for-rent-in-toronto-90-eas/1651533067,"Main & Danforth, East York, Toronto This is a Luxurious, Completely Renovated Large 700 Sqft One Bedroom Apartment for Rent with High Quality Finishes: Brand-New Chef-Inspired Kitchen - Contemporary ...",Toronto,02/03/2023,"$2,195.00"
"Renovated studio, Church and Wellesley - ID 2559",https://www.kijiji.ca/v-apartments-condos/city-of-toronto/renovated-studio-church-and-wellesley-id-2559/1651943708,"Renovated Akelius studio apartment for rent. Church and Wellesley in the Downtown East neighborhood, Toronto. renovated studio - 1 bathroom - located on floor 3 - approximately 297 square feet - ...",Toronto,01/03/2023,"$1,750.00"
2 Bedroom 1 bath North York $2300,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-1-bath-north-york-2300/1652240514,2 BHK available from 1st April including all utilities in $2300. 1. 2 minutes to TTC 2. 10th floor 3. In-unit laundry 4. Fast internet 5. 15 minutes to Subway station 6. Walking distance to ...,Toronto,< 27 minutes ago,"$2,300.00"
Downtown Toronto Studio unit Furnished,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/downtown-toronto-studio-unit-furnished/1652240440,This Studio unit is Located in 555 Yonge St (Yonge/Wellesley) in Downtown Toronto. 400Sqf. **Check-in immediately for 1-Year Lease. *Wellesley Subway Station Opposite Downstairs. 8 mins Walking to ...,City of Toronto,< 32 minutes ago,"$2,150.00"
Bachelor apartment for rent,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/bachelor-apartment-for-rent/1650381981,"Newly renovated 550 square foot apartment. Private walk up entrance is light and bright. Full size appliances and your own private washer and dryer. Ample storage plus 4 piece washroom tub, shower ...",City of Toronto,< 2 hours ago,"$1,500.00"
One Bedroom Loft Apartment,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/one-bedroom-loft-apartment/1652238490,"This charming living space is located on the second floor. Kitchen with stone countertop, stainless steel gas stove and fridge. Modern bathroom. In suite washer & dryer. Skylights. One of a kind ...",Old Toronto,< 3 hours ago,"$1,395.00"
2 Bedroom Apartments for Rent on Jackes Avenue,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/2-bedroom-apartments-for-rent-on-jackes-avenue/1646071531,Join Us for Our In-person Open House Every Wednesday and Friday from 4pm to 6pm By appointment only. Call Now to Reserve Your Spot! The Summerhilll at 7 Jackes Avenue is an amazing modern residence ...Ask About our Rental Incentive!,Toronto,< 3 hours ago,"$3,390.00"
3 Bedroom Pent House Apartment for Rent on Jackes Avenue,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/3-bedroom-pent-house-apartment-for-rent-on-jackes-avenue/1646071498,Join Us for Our In-person Open House Every Wednesday and Friday from 4pm to 6pm By appointment only. Call Now to Reserve Your Spot! The Summerhilll at 7 Jackes Avenue is an amazing modern residence ...Ask About our Rental Incentive!,Toronto,< 3 hours ago,"$8,995.00"
Jr 1 Bedroom Apartments for Rent on Jackes Avenue,https://www.kijiji.ca/v-apartments-condos/city-of-toronto/jr-1-bedroom-apartments-for-rent-on-jackes-avenue/1646071521,Join Us for Our In-person Open House Every Wednesday and Friday from 4pm to 6pm By appointment only. Call Now to Reserve Your Spot! The Summerhilll at 7 Jackes Avenue is an amazing modern residence ...Ask About our Rental Incentive!,Toronto,< 3 hours ago,"$2,384.00"
